Rank,IMDB Rating,Director,Metascore,Release Year,Duration,Title,IMDB Rating scaled up,Movie Age
1,9.3,Frank Darabont,82,1994,2.3666666666666667,The Shawshank Redemption,93,29
2,9.2,Francis Ford Coppola,100,1972,2.9166666666666665,The Godfather,92,51
3,9.0,Christopher Nolan,84,2008,2.533333333333333,The Dark Knight,90,15
4,9.0,Francis Ford Coppola,90,1974,3.3666666666666667,The Godfather Part II,90,49
5,9.0,Sidney Lumet,97,1957,1.6,12 Angry Men,90,66
6,9.0,Steven Spielberg,95,1993,3.25,Schindler's List,90,30
7,9.0,Peter Jackson,94,2003,3.35,The Lord of the Rings: The Return of the King,90,20
8,8.8,Quentin Tarantino,95,1994,2.5666666666666664,Pulp Fiction,88,29
9,8.8,Peter Jackson,92,2001,2.966666666666667,The Lord of the Rings: The Fellowship of the Ring,88,22
10,8.8,Sergio Leone,90,1966,2.6833333333333336,"Il buono, il brutto, il cattivo",88,57
11,8.8,Robert Zemeckis,82,1994,2.3666666666666667,Forrest Gump,88,29
12,8.8,David Fincher,67,1999,2.3166666666666664,Fight Club,88,24
13,8.8,Peter Jackson,87,2002,2.9833333333333334,The Lord of the Rings: The Two Towers,88,21
14,8.8,Christopher Nolan,74,2010,2.466666666666667,Inception,88,13
15,8.7,Irvin Kershner,82,1980,2.066666666666667,Star Wars: Episode V - The Empire Strikes Back,87,43
16,8.7,Lana Wachowski,73,1999,2.2666666666666666,The Matrix,87,24
17,8.7,Martin Scorsese,92,1990,2.4166666666666665,Goodfellas,87,33
18,8.7,Milos Forman,84,1975,2.216666666666667,One Flew Over the Cuckoo's Nest,87,48
19,8.6,David Fincher,65,1995,2.1166666666666667,Se7en,86,28
20,8.6,Frank Capra,89,1946,2.1666666666666665,It's a Wonderful Life,86,77
21,8.6,Akira Kurosawa,98,1954,3.45,Shichinin no samurai,86,69
22,8.7,Christopher Nolan,74,2014,2.8166666666666664,Interstellar,87,9
23,8.6,Jonathan Demme,86,1991,1.9666666666666668,The Silence of the Lambs,86,32
24,8.6,Steven Spielberg,91,1998,2.8166666666666664,Saving Private Ryan,86,25
25,8.6,Fernando Meirelles,79,2002,2.1666666666666665,Cidade de Deus,86,21
26,8.6,Roberto Benigni,59,1997,1.9333333333333333,La vita è bella,86,26
27,8.6,Frank Darabont,61,1999,3.15,The Green Mile,86,24
28,8.7,Joaquim Dos Santos,86,2023,2.3333333333333335,Spider-Man: Across the Spider-Verse,87,0
29,8.6,George Lucas,90,1977,2.0166666666666666,Star Wars,86,46
30,8.6,James Cameron,75,1991,2.283333333333333,Terminator 2: Judgment Day,86,32
31,8.5,Robert Zemeckis,87,1985,1.9333333333333333,Back to the Future,85,38
32,8.6,Hayao Miyazaki,96,2001,2.0833333333333335,Spirited Away,86,22
33,8.5,Roman Polanski,85,2002,2.5,The Pianist,85,21
34,8.5,Alfred Hitchcock,97,1960,1.8166666666666667,Psycho,85,63
35,8.5,Bong Joon Ho,96,2019,2.2,Parasite,85,4
36,8.5,Ridley Scott,67,2000,2.5833333333333335,Gladiator,85,23
