Rank,IMDB Rating,Director,Metascore,Release Year,Duration
1. The Shawshank Redemption,9.3,Frank Darabont,82,1994,2h 22m
2. The Godfather,9.2,Francis Ford Coppola,100,1972,2h 55m
3. The Dark Knight,9.0,Christopher Nolan,84,2008,2h 32m
4. The Godfather Part II,9.0,Francis Ford Coppola,90,1974,3h 22m
5. 12 Angry Men,9.0,Sidney Lumet,97,1957,1h 36m
6. Schindler's List,,Steven Spielberg,95,1993,3h 15m
7. The Lord of the Rings: The Return of the King,9.0,Peter Jackson,94,2003,3h 21m
8. Pulp Fiction,,Quentin Tarantino,95,1994,2h 34m
9. The Lord of the Rings: The Fellowship of the Ring,,Peter Jackson,92,2001,2h 58m
"10. Il buono, il brutto, il cattivo",8.8,Sergio Leone,90,1966,2h 41m
11. Forrest Gump,8.8,Robert Zemeckis,82,1994,2h 22m
12. Fight Club,8.8,David Fincher,67,1999,2h 19m
13. The Lord of the Rings: The Two Towers,,Peter Jackson,87,2002,2h 59m
14. Inception,8.8,Christopher Nolan,74,2010,2h 28m
15. Star Wars: Episode V - The Empire Strikes Back,8.7,Irvin Kershner,82,1980,2h 4m
16. The Matrix,,Lana Wachowski,73,1999,2h 16m
17. Goodfellas,8.7,Martin Scorsese,92,1990,2h 25m
18. One Flew Over the Cuckoo's Nest,8.7,Milos Forman,84,1975,2h 13m
19. Se7en,8.6,David Fincher,65,1995,2h 7m
20. It's a Wonderful Life,8.6,Frank Capra,89,1946,2h 10m
21. Shichinin no samurai,8.6,Akira Kurosawa,98,1954,3h 27m
22. Interstellar,8.7,Christopher Nolan,74,2014,2h 49m
23. The Silence of the Lambs,,Jonathan Demme,86,1991,1h 58m
24. Saving Private Ryan,8.6,Steven Spielberg,91,1998,2h 49m
25. Cidade de Deus,8.6,Fernando Meirelles,79,2002,2h 10m
26. La vita è bella,8.6,Roberto Benigni,59,1997,1h 56m
27. The Green Mile,8.6,Frank Darabont,61,1999,3h 9m
28. Spider-Man: Across the Spider-Verse,8.7,Joaquim Dos Santos,86,2023,2h 20m
29. Star Wars,8.6,George Lucas,90,1977,2h 1m
30. Terminator 2: Judgment Day,8.6,James Cameron,75,1991,2h 17m
31. Back to the Future,8.5,Robert Zemeckis,87,1985,1h 56m
32. Spirited Away,8.6,Hayao Miyazaki,96,2001,2h 5m
33. The Pianist,8.5,Roman Polanski,85,2002,2h 30m
